Algorithm,Total Hit,Total Miss,Total Accesses,Overall Hit Rate,Avg Hit Rate,Avg Cost Ratio,Avg LRU-norm CR,# Datasets
OPT,75797,98059,173856,0.4360,0.5836,1.0000,0.0000,3
LRB[LRB],56283,117573,173856,0.3237,0.4229,1.5370,1.0197,3
CombDet[LRB[LRB], Marker],54201,119655,173856,0.3118,0.4429,1.4607,0.8337,3
SimpleGuardLRB-RT0[LRB],53173,120683,173856,0.3058,0.4731,1.3687,0.5663,3
CombineRandom[LRB[LRB], Marker],52961,120895,173856,0.3046,0.4156,1.5490,1.0390,3
Mark0[LRB],52865,120991,173856,0.3041,0.4644,1.4043,0.6277,3
Rand,27814,146042,173856,0.1600,0.3531,1.6730,1.2370,3
Marker,23807,150049,173856,0.1369,0.3709,1.5850,1.0537,3
LRU,23057,150799,173856,0.1326,0.3763,1.5643,1.0000,3
PredictiveRPBNewOnlineMin[LRB]-msf-100-pb-0,21541,152315,173856,0.1239,0.3250,1.6850,1.4313,3
PredictiveRPBNewOnlineMin[LRB]-msf-100-pb-1,19947,153909,173856,0.1147,0.3183,1.6927,1.4720,3
PredictiveRPBNewOnlineMin[LRB]-msf-100-pb-2,19382,154474,173856,0.1115,0.3133,1.7083,1.5057,3
PredictiveRPBNewOnlineMin[LRB]-msf-100-pb-4,19099,154757,173856,0.1099,0.3093,1.7177,1.5370,3
PredictiveRPBNewOnlineMin[LRB]-msf-100-pb-8,19066,154790,173856,0.1097,0.3085,1.7200,1.5437,3
PredictiveRPBNewOnlineMin[LRB]-msf-100-pb-100,19060,154796,173856,0.1096,0.3086,1.7197,1.5423,3
